Date,Product,Quantity,Price
2024-06-30,Tablet,1,303.43
2023-08-30,Smartwatch,40,680.24
2024-08-05,Smartwatch,35,394.33
2023-04-25,Smartphone,2,303.81
2023-03-25,Smartphone,23,370.02
2022-11-05,Smartphone,15,68.52
2021-01-23,Fone de Ouvido,16,418.93
2022-06-26,Laptop,16,608.37
2020-08-01,Smartphone,35,169.52
2023-05-07,Tablet,37,630.72
2022-04-29,Tablet,43,516.84
2025-01-29,Smartwatch,41,768.77
2023-03-06,Smartphone,4,239.97
2024-08-26,Smartphone,42,347.7
2020-10-25,Fone de Ouvido,15,459.07
2021-05-08,Laptop,12,736.8
2024-12-15,Laptop,43,563.23
2021-08-10,Fone de Ouvido,10,82.88
2023-01-21,Smartwatch,34,95.1
2022-11-08,Smartphone,9,215.18
2021-11-21,Fone de Ouvido,13,884.21
2020-04-22,Smartwatch,45,815.08
2020-03-04,Fone de Ouvido,24,323.77
2022-12-07,Smartphone,23,85.24
2021-05-07,Smartphone,14,691.19
2023-04-21,Tablet,6,725.15
2022-02-09,Smartwatch,40,39.06
2024-09-26,Smartphone,46,975.8
2022-06-07,Smartwatch,10,295.15
2022-12-07,Tablet,40,365.61
2023-08-10,Tablet,45,480.64
2020-01-22,Laptop,24,463.59
2020-08-30,Laptop,42,527.38
2020-01-28,Smartwatch,44,872.02
2022-02-03,Laptop,25,167.05
2020-11-28,Fone de Ouvido,24,783.1
2023-11-02,Fone de Ouvido,46,450.65
2021-04-13,Laptop,29,681.8
2020-01-02,Fone de Ouvido,49,662.25
2021-12-29,Laptop,49,75.58
2021-04-24,Tablet,6,485.01
2024-08-11,Tablet,41,759.34
2022-07-31,Fone de Ouvido,9,526.01
2021-02-14,Tablet,30,720.01
2021-12-14,Smartphone,29,542.56
2021-11-26,Tablet,11,261.98
2020-06-06,Laptop,46,115.62
2023-09-29,Smartwatch,29,939.86
2021-12-17,Smartphone,50,864.99
2020-03-31,Smartphone,29,737.31
2024-10-22,Tablet,16,238.76
2020-04-21,Smartphone,17,729.85
2022-07-01,Tablet,17,657.94
2021-04-09,Tablet,30,593.46
2022-02-13,Smartwatch,35,867.34
2023-03-02,Smartphone,28,473.72
2023-03-19,Fone de Ouvido,15,107.01
2024-01-08,Smartphone,39,753.06
2022-07-29,Smartwatch,47,854.18
2024-02-05,Laptop,42,729.32
2024-09-13,Smartphone,15,115.84
2023-03-09,Laptop,17,175.54
2021-06-18,Laptop,32,944.72
2024-09-23,Laptop,21,88.13
2024-07-17,Smartphone,46,724.48
2024-01-15,Smartphone,44,397.9
2024-02-28,Laptop,25,516.06
2023-04-16,Smartwatch,36,977.3
2024-03-17,Smartphone,3,874.85
2020-10-01,Tablet,7,543.43
2023-04-19,Smartwatch,39,124.22
2024-03-29,Fone de Ouvido,11,595.91
2022-02-12,Fone de Ouvido,33,240.82
2024-05-01,Fone de Ouvido,7,853.69
2025-03-22,Tablet,22,885.45
2024-07-08,Fone de Ouvido,21,417.84
2020-05-13,Tablet,40,51.9
2021-11-23,Smartphone,37,101.14
2021-02-21,Smartphone,18,955.95
2020-07-31,Smartphone,40,871.55
2021-10-29,Fone de Ouvido,46,421.05
2023-10-13,Smartphone,13,654.87
2024-11-07,Laptop,18,679.62
2020-01-08,Smartwatch,31,612.93
2024-09-24,Smartwatch,21,505.9
2021-03-02,Smartwatch,25,897.4
2024-11-11,Fone de Ouvido,33,425.57
2024-08-16,Smartphone,48,267.99
2020-01-14,Laptop,24,348.6
2020-01-24,Fone de Ouvido,14,623.56
2021-10-06,Laptop,7,415.02
2020-03-23,Fone de Ouvido,17,301.25
2020-07-14,Tablet,29,695.33
2022-06-12,Smartphone,48,771.5
2024-06-16,Tablet,2,317.89
2023-03-31,Tablet,10,888.34
2023-06-14,Smartwatch,47,999.42
2024-02-12,Smartphone,15,891.93
2023-10-12,Tablet,2,247.13
2022-02-11,Smartwatch,18,103.3
2020-08-18,Smartwatch,8,65.89
2024-12-03,Smartwatch,31,749.91
2022-07-17,Fone de Ouvido,16,507.13
2022-06-16,Smartphone,2,282.64
2024-10-15,Tablet,4,229.18
2021-08-09,Laptop,48,803.69
2022-06-02,Smartphone,1,718.16
2024-03-12,Tablet,31,680.24
2021-09-18,Laptop,26,534.18
2022-06-14,Tablet,14,559.11
2024-10-13,Fone de Ouvido,47,431.3
2022-08-30,Fone de Ouvido,33,781.09
2022-03-23,Tablet,12,913.46
2023-07-22,Fone de Ouvido,14,367.65
2022-03-19,Smartphone,11,647.37
2024-04-16,Tablet,2,87.92
2022-06-13,Smartwatch,43,580.79
2022-12-13,Laptop,22,791.44
2024-03-01,Smartwatch,29,216.43
2022-11-16,Tablet,2,562.51
2022-11-17,Fone de Ouvido,22,416.72
2023-04-20,Smartwatch,40,878.19
2020-07-14,Laptop,9,271.01
2023-11-14,Tablet,2,624.63
2022-09-19,Tablet,47,78.66
2024-12-19,Smartwatch,23,500.87
2020-03-21,Smartphone,28,179.39
2024-05-25,Smartwatch,44,596.29
2023-05-28,Smartwatch,23,573.07
2025-01-31,Smartwatch,11,399.78
2020-02-18,Laptop,35,164.33
2020-06-07,Smartwatch,1,510.75
2021-04-03,Fone de Ouvido,16,610.44
2023-06-21,Tablet,19,652.97
2024-10-02,Laptop,6,806.19
2021-05-02,Laptop,12,319.15
2023-01-21,Smartphone,29,116.18
2021-04-24,Smartphone,28,461.6
2021-08-05,Tablet,8,977.42
2021-09-17,Smartphone,16,947.78
2020-09-06,Smartwatch,50,380.57
2020-11-24,Smartwatch,31,932.81
2021-12-26,Fone de Ouvido,20,243.45
2023-09-23,Smartphone,26,187.46
2021-08-31,Laptop,9,729.77
2021-09-29,Tablet,47,24.38
2022-08-02,Smartphone,10,375.53
2022-04-15,Smartphone,36,592.66
2023-11-28,Smartphone,24,448.59
2022-09-25,Laptop,4,782.32
2022-12-11,Tablet,12,265.7
2023-05-01,Fone de Ouvido,4,219.46
2020-02-27,Laptop,50,329.85
2024-04-17,Fone de Ouvido,27,208.62
2024-08-05,Fone de Ouvido,26,948.74
2021-05-24,Tablet,31,14.16
2023-06-15,Smartphone,43,423.34
2020-11-18,Smartphone,44,411.33
2021-05-28,Fone de Ouvido,50,278.13
2021-09-21,Smartwatch,19,970.86
2021-11-14,Tablet,4,455.13
2024-11-15,Smartwatch,18,320.08
2023-07-07,Fone de Ouvido,11,842.92
2021-03-21,Smartphone,30,735.3
2020-05-24,Laptop,36,428.83
2021-08-23,Laptop,12,762.06
2022-04-04,Laptop,22,443.45
2023-12-02,Laptop,50,669.27
2023-06-19,Tablet,42,885.28
2025-01-28,Tablet,25,972.31
2023-06-12,Fone de Ouvido,49,290.12
2021-02-27,Tablet,19,870.98
2023-03-08,Tablet,6,517.8
2020-04-09,Smartwatch,28,516.18
2025-03-03,Smartphone,38,571.18
2023-09-18,Fone de Ouvido,4,149.6
2021-07-26,Fone de Ouvido,22,926.54
2023-08-14,Tablet,33,751.05
2022-01-29,Fone de Ouvido,42,454.97
2020-10-05,Smartphone,9,904.54
2020-07-07,Laptop,23,929.93
2025-01-08,Smartphone,38,682.14
2022-10-04,Tablet,9,25.28
2024-03-27,Laptop,38,649.72
2024-09-01,Smartphone,10,404.86
2024-06-16,Tablet,44,988.03
2022-02-05,Laptop,19,252.22
2023-01-02,Tablet,25,203.4
2020-08-06,Smartwatch,30,217.89
2025-01-12,Smartphone,17,71.06
2023-11-10,Fone de Ouvido,17,124.3
2020-11-10,Smartphone,49,894.93
2025-01-25,Fone de Ouvido,44,854.48
2024-06-13,Smartphone,26,183.0
2022-06-06,Smartphone,41,741.04
2024-07-05,Smartwatch,32,194.0
2022-06-09,Tablet,4,350.36
2021-11-07,Smartwatch,43,267.68
2023-08-28,Smartwatch,7,253.61
2025-02-15,Smartwatch,26,833.4
2023-04-17,Smartwatch,16,93.37
2020-11-14,Tablet,28,138.82
2025-03-07,Laptop,9,994.98
2023-10-29,Laptop,32,85.36
2020-03-22,Laptop,14,641.85
2020-08-06,Laptop,32,677.4
2022-02-19,Smartphone,2,108.12
2022-05-24,Laptop,16,910.24
2021-11-04,Smartwatch,43,364.0
2024-11-08,Fone de Ouvido,32,426.22
2024-03-08,Tablet,19,236.66
2021-02-18,Smartphone,47,117.59
2024-04-18,Tablet,21,329.15
2020-03-18,Tablet,6,734.11
2022-04-15,Tablet,45,246.88
2021-11-02,Tablet,5,108.08
2024-05-10,Smartwatch,9,157.72
2024-05-18,Fone de Ouvido,30,213.88
2024-05-25,Laptop,17,166.15
2021-11-28,Laptop,22,42.18
2024-06-18,Laptop,9,38.31
2023-04-28,Laptop,10,164.44
2020-01-19,Fone de Ouvido,1,96.72
2024-02-20,Laptop,26,136.94
2022-01-03,Laptop,45,566.29
2022-10-27,Smartphone,19,353.85
2022-09-10,Smartphone,42,499.66
2022-12-08,Fone de Ouvido,28,469.81
2024-06-01,Laptop,20,614.58
2024-11-23,Smartphone,39,763.59
2024-09-12,Smartphone,7,458.57
2025-01-29,Smartphone,43,69.91
2020-08-30,Smartwatch,34,817.35
2023-08-17,Smartphone,31,55.13
2020-10-27,Fone de Ouvido,46,138.4
2023-09-15,Tablet,20,425.96
2022-02-14,Laptop,39,971.98
2021-07-15,Smartwatch,38,57.18
2021-02-09,Smartphone,24,732.84
2022-10-11,Smartphone,48,914.81
2022-11-01,Smartphone,10,807.97
2021-06-01,Fone de Ouvido,29,981.71
2021-07-01,Tablet,20,961.21
2024-09-06,Smartphone,50,31.66
2021-01-07,Smartwatch,29,734.88
2021-10-20,Fone de Ouvido,11,162.99
2021-04-05,Tablet,2,943.83
2023-09-26,Smartphone,35,659.82
2024-02-08,Smartphone,8,55.73
2021-07-28,Tablet,3,927.41
2022-04-16,Smartphone,14,145.0
2024-02-13,Tablet,38,44.09
2024-09-18,Fone de Ouvido,14,434.31
2020-05-10,Laptop,33,109.97
2022-02-04,Fone de Ouvido,25,229.35
2023-12-23,Laptop,8,392.59
2020-06-16,Smartphone,46,869.44
2025-02-28,Smartwatch,39,624.14
2020-08-06,Smartphone,17,38.79
2021-12-04,Smartwatch,41,586.2
2023-02-23,Laptop,28,411.13
2021-01-07,Smartphone,14,393.92
2020-10-02,Laptop,6,366.39
2020-09-08,Smartwatch,48,431.06
2023-08-14,Fone de Ouvido,33,882.23
2023-12-28,Smartphone,3,58.79
2024-10-31,Smartphone,20,302.45
2023-03-15,Tablet,8,234.03
2024-03-27,Tablet,31,583.99
2022-07-29,Smartphone,44,427.89
2020-03-09,Laptop,29,467.86
2020-03-13,Tablet,27,622.35
2025-03-13,Fone de Ouvido,39,837.91
2021-06-06,Tablet,49,780.41
2022-09-12,Smartphone,41,724.75
2024-10-04,Tablet,48,678.89
2023-08-28,Smartwatch,7,806.87
2021-08-03,Laptop,21,143.23
2024-06-02,Smartphone,10,965.55
2024-10-06,Fone de Ouvido,36,740.98
2021-03-07,Laptop,20,577.33
2023-07-22,Fone de Ouvido,4,429.8
2022-08-31,Smartwatch,44,840.76
2021-07-18,Tablet,22,17.08
2023-10-16,Smartphone,20,981.94
2022-08-25,Smartphone,43,235.4
2020-02-25,Smartwatch,33,367.35
2024-10-03,Fone de Ouvido,41,417.3
2021-04-29,Tablet,43,66.46
2022-12-03,Laptop,20,633.15
2023-03-16,Smartphone,10,213.35
2024-11-25,Smartwatch,34,112.6
2022-11-24,Tablet,47,188.38
2020-10-15,Tablet,50,250.0
2020-05-09,Laptop,42,138.7
2025-01-26,Smartphone,34,724.42
2022-05-16,Smartwatch,33,446.73
2020-02-13,Tablet,16,911.03
2024-01-03,Fone de Ouvido,19,78.92
2024-03-17,Laptop,9,386.65
2021-03-09,Tablet,35,56.01
2020-11-17,Smartwatch,48,972.73
2024-08-09,Smartwatch,22,794.63
2022-03-05,Smartphone,49,47.64
2020-08-23,Smartwatch,6,676.68
2024-02-07,Laptop,33,860.05
2022-08-29,Laptop,8,451.76
2020-08-26,Smartwatch,47,461.27
2024-02-21,Tablet,34,468.42
2024-03-20,Smartphone,42,659.06
2021-03-03,Laptop,34,979.09
2021-09-11,Smartphone,47,464.86
2020-01-04,Tablet,1,907.94
2023-03-13,Laptop,4,291.47
2023-08-26,Smartphone,11,436.26
2020-07-31,Smartwatch,50,373.63
2021-05-05,Fone de Ouvido,38,208.57
2024-08-23,Laptop,21,513.35
2021-11-11,Laptop,10,83.18
2024-04-28,Smartphone,24,950.24
2020-06-09,Smartphone,21,310.31
2023-11-07,Smartwatch,49,429.62
2022-06-28,Fone de Ouvido,8,746.06
2024-10-26,Laptop,2,806.49
2024-01-11,Smartwatch,42,40.94
2024-02-16,Smartphone,2,907.48
2021-05-10,Smartwatch,34,255.67
2022-08-02,Smartphone,21,541.97
2024-01-04,Smartwatch,13,358.76
2024-04-12,Fone de Ouvido,29,92.88
2020-07-01,Smartwatch,48,563.33
2023-09-02,Smartphone,5,709.88
2021-01-31,Laptop,42,793.18
2023-07-26,Smartwatch,21,719.81
2024-08-31,Fone de Ouvido,11,58.68
2024-11-09,Smartwatch,22,723.55
2021-10-30,Smartwatch,48,49.55
2023-08-06,Laptop,34,128.51
2022-08-09,Smartwatch,24,171.22
2024-06-20,Tablet,43,330.33
2025-01-27,Smartwatch,35,740.31
2021-11-29,Laptop,49,212.72
2020-09-05,Smartwatch,37,528.17
2022-11-10,Fone de Ouvido,2,335.94
2024-10-20,Smartphone,22,194.58
2023-10-03,Tablet,48,325.33
2020-07-05,Smartwatch,50,97.21
2020-02-03,Smartwatch,27,662.97
2021-10-20,Smartwatch,22,349.07
2020-09-23,Laptop,18,415.19
2020-02-01,Laptop,33,522.49
2021-02-09,Fone de Ouvido,16,174.76
2023-02-14,Smartwatch,1,252.96
2022-01-02,Smartphone,26,617.49
2020-09-28,Smartwatch,2,402.64
2023-05-04,Smartphone,48,477.44
2021-10-26,Laptop,36,188.53
2021-04-29,Tablet,6,376.97
2024-09-26,Smartphone,24,407.99
2023-03-30,Laptop,26,986.49
2023-01-23,Smartwatch,49,596.62
2020-11-04,Laptop,33,402.9
2024-04-29,Tablet,31,130.16
2020-06-20,Smartwatch,17,61.85
2024-01-17,Smartwatch,20,551.49
2020-01-08,Tablet,8,507.96
2024-02-21,Tablet,43,861.12
2020-10-03,Smartphone,24,569.2
2021-12-07,Smartphone,14,480.76
2024-09-11,Laptop,42,601.79
2021-01-25,Tablet,20,765.8
2021-12-10,Smartphone,27,995.3
2024-11-08,Tablet,10,406.59
2020-03-11,Tablet,29,268.91
2021-07-11,Smartwatch,32,869.51
2024-06-03,Tablet,46,647.6
2023-05-07,Smartwatch,21,774.55
2023-11-29,Laptop,5,48.51
2020-01-10,Fone de Ouvido,30,446.65
2022-11-05,Tablet,22,394.05
2024-08-12,Laptop,33,784.83
2020-12-18,Fone de Ouvido,1,85.79
2021-08-02,Fone de Ouvido,19,256.14
2024-03-08,Smartphone,40,49.1
2022-12-23,Fone de Ouvido,30,818.8
2020-08-24,Fone de Ouvido,21,709.54
2021-10-24,Smartphone,10,965.72
2025-03-16,Smartphone,47,850.14
2022-01-20,Tablet,1,655.72
2024-12-11,Smartwatch,13,755.66
2022-10-06,Smartphone,50,411.89
2022-09-12,Smartwatch,29,692.0
2023-10-17,Smartphone,31,555.61
2022-04-17,Tablet,8,670.59
2024-06-04,Smartwatch,1,703.44
2021-06-03,Tablet,6,577.31
2023-07-03,Smartwatch,12,512.12
2022-04-11,Fone de Ouvido,15,32.77
2020-09-09,Smartwatch,44,831.1
2023-04-14,Tablet,23,407.63
2020-07-17,Fone de Ouvido,34,765.43
2024-08-23,Laptop,9,904.53
2024-07-26,Fone de Ouvido,42,61.71
2021-02-21,Laptop,3,25.19
2024-09-20,Smartwatch,9,92.39
2023-10-21,Smartwatch,27,62.77
2021-01-22,Tablet,34,163.21
2023-02-02,Smartwatch,35,22.3
2022-08-27,Smartwatch,9,160.41
2020-08-11,Smartphone,48,605.73
2021-04-04,Laptop,41,531.05
2024-08-06,Smartwatch,49,24.24
2023-02-28,Fone de Ouvido,19,954.15
2023-03-20,Laptop,14,97.85
2020-07-15,Laptop,49,163.22
2020-09-09,Smartphone,19,220.63
2025-03-06,Tablet,27,334.52
2020-04-20,Laptop,7,647.84
2024-05-09,Fone de Ouvido,26,566.78
2024-03-30,Smartphone,31,80.64
2022-02-27,Tablet,7,643.4
2023-01-27,Smartphone,8,925.44
2024-12-06,Smartwatch,31,320.1
2024-06-13,Tablet,33,212.91
2024-10-19,Smartphone,29,985.5
2024-04-06,Smartwatch,14,653.62
2024-01-14,Tablet,40,22.63
2020-10-05,Tablet,46,986.25
2024-05-28,Smartwatch,10,711.67
2020-07-02,Smartphone,37,716.36
2021-04-22,Laptop,10,39.28
2020-02-12,Laptop,23,952.85
2023-09-20,Laptop,24,548.71
2024-03-18,Smartwatch,6,448.13
2022-08-23,Tablet,7,632.89
2022-03-28,Smartphone,30,183.87
2023-10-23,Smartphone,17,798.67
2021-11-30,Tablet,22,419.94
2020-06-29,Fone de Ouvido,18,323.55
2025-02-18,Smartwatch,44,557.58
2022-07-27,Fone de Ouvido,18,458.47
2022-09-16,Smartphone,30,278.9
2021-03-07,Smartwatch,23,661.12
2024-08-10,Smartphone,14,521.15
2024-12-12,Tablet,33,948.56
2020-08-07,Smartphone,43,710.03
2021-08-19,Tablet,42,15.04
2022-04-26,Smartphone,29,566.26
2023-12-23,Tablet,34,173.54
2022-11-27,Fone de Ouvido,16,561.22
2022-08-08,Tablet,24,228.36
2020-12-15,Fone de Ouvido,32,899.62
2024-09-09,Fone de Ouvido,32,65.19
2022-12-09,Smartwatch,3,27.09
2024-01-28,Laptop,38,285.51
2024-11-09,Fone de Ouvido,12,845.57
2021-03-25,Fone de Ouvido,26,867.28
2024-09-04,Fone de Ouvido,31,420.57
2024-12-18,Smartphone,25,588.44
2024-08-27,Smartphone,29,86.45
2023-03-13,Smartphone,15,989.85
2023-01-11,Laptop,48,754.24
2021-10-03,Smartphone,33,957.61
2020-10-16,Smartwatch,49,103.98
2022-02-04,Smartphone,21,574.0
2020-11-13,Tablet,12,260.48
2020-02-11,Laptop,29,690.81
2025-02-08,Fone de Ouvido,50,382.32
2024-11-09,Tablet,8,159.91
2023-04-27,Smartwatch,28,869.56
2020-03-23,Tablet,31,75.47
2022-01-14,Smartwatch,23,802.4
2024-12-09,Laptop,20,656.61
2023-12-10,Smartphone,7,834.36
2020-09-15,Laptop,15,312.45
2022-01-09,Smartphone,17,309.23
2022-05-06,Laptop,32,122.41
2024-08-10,Tablet,20,125.27
2020-04-29,Fone de Ouvido,23,459.36
2023-12-01,Tablet,30,203.43
2021-08-08,Fone de Ouvido,37,496.93
2020-01-17,Laptop,13,65.42
2025-03-07,Tablet,44,377.83
2021-08-12,Smartphone,42,984.77
2021-06-25,Smartwatch,9,74.06
2021-10-03,Laptop,2,393.38
2022-01-31,Laptop,4,844.4
2024-12-06,Laptop,33,67.91
2023-02-21,Smartwatch,31,76.47
2021-05-04,Tablet,26,212.76
2021-01-27,Smartwatch,45,99.27
2020-12-18,Smartwatch,14,694.76
2021-10-16,Tablet,42,964.08
2020-03-16,Smartwatch,26,892.3
2020-05-21,Fone de Ouvido,37,691.94
2024-04-08,Smartwatch,21,497.71
2022-04-03,Smartphone,46,174.42
2021-01-27,Smartphone,46,725.66
2021-07-28,Tablet,28,980.22
2024-06-20,Smartwatch,29,10.98
2020-03-15,Fone de Ouvido,28,925.45
2021-11-10,Smartwatch,29,156.84
2022-02-02,Fone de Ouvido,5,980.19
2023-09-03,Tablet,15,581.46
2024-07-28,Fone de Ouvido,38,172.17
2023-09-17,Smartwatch,6,115.67
2023-04-24,Fone de Ouvido,50,463.28
2021-06-24,Smartphone,18,133.04
2021-01-13,Laptop,21,62.05
2024-06-17,Smartwatch,41,504.11
2020-01-30,Smartwatch,34,366.13
2023-09-05,Smartwatch,10,897.41
2020-01-06,Smartwatch,22,902.04
2024-05-21,Fone de Ouvido,23,405.7
2023-03-23,Fone de Ouvido,14,110.53
2024-05-06,Fone de Ouvido,1,640.21
2022-09-22,Smartphone,37,76.69
2022-09-15,Smartwatch,33,433.05
2024-11-12,Smartwatch,16,50.63
2024-06-26,Fone de Ouvido,13,365.43
2024-05-03,Smartphone,26,25.41
2022-10-22,Smartphone,12,860.79
2023-02-18,Laptop,11,603.04
2025-01-31,Laptop,32,371.32
2024-11-22,Smartwatch,12,696.36
2023-10-29,Tablet,22,868.66
2020-06-22,Smartwatch,5,117.62
2021-03-29,Smartphone,17,23.1
2022-11-20,Tablet,28,518.41
2024-02-25,Tablet,28,694.64
2023-09-22,Fone de Ouvido,42,491.03
2023-07-20,Smartwatch,21,909.46
2024-04-29,Tablet,50,77.42
2023-08-27,Smartwatch,7,933.6
2023-01-11,Smartphone,21,983.8
2023-10-22,Fone de Ouvido,50,764.01
2022-10-12,Smartwatch,27,893.47
2021-05-09,Fone de Ouvido,9,675.65
2023-12-20,Fone de Ouvido,13,114.6
2023-01-16,Smartphone,34,29.4
2022-05-20,Smartphone,30,240.43
2022-12-22,Smartphone,44,272.94
2025-02-14,Smartphone,25,362.54
2021-07-18,Laptop,36,640.55
2021-06-24,Smartphone,38,110.91
2021-11-28,Tablet,37,504.36
2024-01-06,Tablet,21,815.1
2021-08-15,Smartwatch,20,702.38
2021-11-11,Smartwatch,3,136.54
2021-07-04,Laptop,11,282.98
2021-02-23,Laptop,25,847.41
2020-10-14,Fone de Ouvido,29,392.28
2022-11-06,Smartphone,37,749.86
2022-05-28,Fone de Ouvido,29,906.98
2021-10-23,Smartwatch,4,96.69
2024-06-04,Laptop,7,988.34
2021-01-23,Smartphone,27,376.43
2023-05-29,Laptop,33,856.47
2022-09-20,Tablet,19,189.42
2023-11-21,Tablet,26,499.75
2022-06-20,Smartwatch,32,401.14
2020-04-26,Tablet,38,335.24
2024-01-29,Fone de Ouvido,49,790.01
2023-11-01,Fone de Ouvido,37,481.37
2022-11-09,Laptop,10,101.73
2024-11-19,Tablet,4,693.36
2025-01-09,Fone de Ouvido,11,215.32
2024-10-08,Smartwatch,2,440.43
2021-08-30,Laptop,1,110.6
2025-03-10,Smartphone,5,428.34
2020-02-09,Smartwatch,47,418.33
2024-05-04,Tablet,30,662.74
2022-05-04,Smartphone,2,241.92
2022-08-25,Fone de Ouvido,12,403.19
2022-06-27,Smartphone,23,67.38
2020-06-13,Tablet,44,896.54
2022-02-07,Smartphone,27,629.7
2023-12-07,Smartwatch,11,309.39
2023-11-25,Smartphone,21,183.23
2021-08-23,Laptop,35,423.66
2025-03-23,Fone de Ouvido,47,534.18
2020-02-26,Smartwatch,16,220.56
2022-01-10,Fone de Ouvido,9,924.14
2022-03-22,Smartphone,24,701.14
2020-02-10,Smartwatch,31,234.17
2022-05-15,Smartphone,46,846.14
2023-02-13,Tablet,14,761.97
2024-03-26,Smartphone,39,817.25
2020-01-13,Smartwatch,5,83.88
2021-03-02,Smartphone,24,249.39
2023-06-23,Fone de Ouvido,22,741.15
2023-04-14,Tablet,3,192.32
2020-01-16,Smartwatch,13,998.58
2023-01-28,Fone de Ouvido,42,417.7
2021-10-15,Tablet,23,657.43
2023-02-03,Tablet,42,564.49
2025-02-20,Fone de Ouvido,45,131.47
2021-04-08,Smartwatch,40,540.58
2023-09-18,Fone de Ouvido,36,255.28
2021-12-20,Smartphone,32,949.74
2022-07-05,Smartwatch,5,927.78
2021-01-30,Smartphone,7,900.55
2022-10-15,Fone de Ouvido,47,546.2
2024-11-12,Fone de Ouvido,9,833.97
2021-05-06,Laptop,11,251.93
2020-08-07,Tablet,15,786.64
2024-09-02,Smartphone,19,233.12
2024-03-22,Smartphone,24,417.11
2022-01-19,Laptop,18,414.7
